id;Vencimento;DataDocumento;NumeroDocumento;ValorDocumento;IDFornecedor;ValorAbatimento;DataAbatimento;Status
1276;01/12/2021;12/11/2021;140138;103,52;253256;103,52;01/12/2021;PAID
1277;11/11/2021;12/11/2021;128427;299;267706;299;12/11/2021;PAID
1279;12/11/2021;12/11/2021;5653;1530;267573;1530;12/11/2021;PAID
1280;12/11/2021;12/11/2021;5649;380;267573;380;12/11/2021;PAID
1281;12/11/2021;12/11/2021;56343;192;267684;144;12/11/2021;PAID
1282;11/11/2021;12/11/2021;111121;2200;267687;2200;12/11/2021;PAID
1283;11/11/2021;12/11/2021;95397;6,4;267647;6,4;12/11/2021;PAID
1284;12/11/2021;12/11/2021;116057;25,86;267696;25,86;12/11/2021;PAID
1285;12/11/2021;12/11/2021;95431;6,12;267647;6,12;12/11/2021;PAID
1286;12/11/2021;12/11/2021;12112021;40;267707;40;12/11/2021;PAID
1287;10/12/2021;10/11/2021;41976;2208;253270;2208;10/12/2021;PAID
1288;19/11/2021;13/11/2021;249292;260,66;267535;260,66;19/11/2021;PAID
1289;22/11/2021;13/11/2021;392327;446,14;267575;446,14;22/11/2021;PAID
1290;13/12/2021;13/11/2021;5663;965;267573;965;13/12/2021;PAID
1291;13/11/2021;13/11/2021;131121;70;267702;70;13/11/2021;PAID
1292;16/11/2021;16/11/2021;71669;22;267580;20;16/11/2021;PAID
1293;16/11/2021;16/11/2021;1100360943;22;267619;19,36;16/11/2021;PAID
1294;17/11/2021;17/11/2021;1100360980;442;267619;388,96;17/11/2021;PAID
1295;14/12/2021;17/11/2021;94318;202,04;253238;202,04;14/12/2021;PAID
1296;28/12/2021;17/11/2021;94318;172,04;253238;172,04;28/12/2021;PAID
1297;17/11/2021;17/11/2021;1100361023;821;267619;722,48;17/11/2021;PAID
1298;17/11/2021;17/11/2021;95547;16,2;267647;16,2;17/11/2021;PAID
1299;17/11/2021;17/11/2021;71722;215,43;267580;204;17/11/2021;PAID
1300;01/12/2021;17/11/2021;392905;2411,52;267575;2411,52;01/12/2021;PAID
1301;16/12/2021;17/11/2021;85660;1689;253256;1689;16/12/2021;PAID
1302;16/11/2021;17/11/2021;917;300;267703;300;17/11/2021;PAID
1303;18/11/2021;18/11/2021;1100361111;33;267619;29,04;18/11/2021;PAID
1304;17/11/2021;18/11/2021;22548;90;267567;90;18/11/2021;PAID
1305;16/02/2021;18/11/2021;71808;14,8;267580;14;18/11/2021;PAID
1306;24/11/2021;18/11/2021;393374;936,38;267575;936,38;24/11/2021;PAID
1307;23/11/2021;18/11/2021;834407;1849,42;267708;1849,42;23/11/2021;PAID
1308;17/11/2021;18/11/2021;193239;1001,5;267574;1001,5;18/11/2021;PAID
1309;16/11/2021;18/11/2021;27044;1324,2;267574;1324,2;18/11/2021;PAID
1310;22/11/2021;19/11/2021;11;13279,77;267626;13279,77;22/11/2021;PAID
1311;20/11/2021;20/11/2021;1100361439;30;267619;30;20/11/2021;PAID
1312;19/11/2021;22/11/2021;337161;93,67;267589;85,24;22/11/2021;PAID
1313;19/11/2021;22/11/2021;56788;184;267684;184;22/11/2021;PAID
1314;20/11/2021;22/11/2021;337346;77;267589;70;22/11/2021;PAID
1315;22/11/2021;22/11/2021;1100361469;125;267619;110;22/11/2021;PAID
1316;20/11/2021;22/11/2021;95710;16;267647;16;22/11/2021;PAID
1317;22/11/2021;22/11/2021;1100361526;35,2;267619;30,98;22/11/2021;PAID
1318;19/11/2021;22/11/2021;191121;220;267592;132;22/11/2021;PAID
1319;19/11/2021;22/11/2021;19112021;70;267592;42;22/11/2021;PAID
1320;26/11/2021;22/11/2021;16987;214,25;267644;214,25;26/11/2021;PAID
1321;19/11/2021;22/11/2021;22564;30;267567;30;22/11/2021;PAID
1322;22/11/2021;22/11/2021;337624;50;267589;45;22/11/2021;PAID
1323;26/11/2021;22/11/2021;394320;145,22;267575;145,22;26/11/2021;PAID
1324;19/12/2021;22/11/2021;42115;2514;253270;2514;20/12/2021;PAID
1325;26/11/2021;22/11/2021;94885;1160,5;253238;1160,5;26/11/2021;PAID
1326;03/12/2021;22/11/2021;393874;1522,42;267575;1522,42;03/12/2021;PAID
1327;19/11/2021;22/11/2021;1100361376;25,4;267619;22,35;22/11/2021;PAID
1328;22/12/2021;22/11/2021;775;86;267671;86;22/12/2021;PAID
1329;29/11/2021;23/11/2021;394871;468,23;267575;468,23;29/11/2021;PAID
1330;02/12/2021;23/11/2021;6157;990;267709;990;23/11/2021;PAID
1331;23/11/2021;23/11/2021;100163194;141,3;267608;140;23/11/2021;PAID
1332;29/11/2021;23/11/2021;250118;240,49;267535;240,49;29/11/2021;PAID
1333;19/12/2021;23/11/2021;85930;328;253256;328;20/12/2021;PAID
1334;23/11/2021;23/11/2021;56987;340;267684;255;23/11/2021;PAID
1335;23/11/2021;23/11/2021;236433;35;267584;29,75;23/11/2021;PAID
1336;23/11/2021;23/11/2021;1100361708;25;267619;22;23/11/2021;PAID
1337;23/12/2021;24/11/2021;42169;1900;253270;1900;23/12/2021;PAID
1338;30/11/2021;24/11/2021;395313;317,15;267575;317,15;29/11/2021;PAID
1339;25/11/2021;25/11/2021;1100361856;139,39;267675;0,01;25/11/2021;PAID
1340;10/01/2022;25/11/2021;829641;299,29;267710;299,29;10/01/2022;PAID
1341;25/11/2021;25/11/2021;26946;26;267574;26;25/11/2021;PAID
1342;19/11/2021;25/11/2021;1376;150;267711;150;25/11/2021;PAID
1343;24/11/2021;25/11/2021;395775;822,7;267575;822,7;25/11/2021;PAID
1344;09/12/2021;25/11/2021;395775;985,01;267575;985,01;09/12/2021;PAID
1345;25/11/2021;25/11/2021;251121;315;267592;157,5;25/11/2021;PAID
1346;24/11/2021;25/11/2021;751600001;42,19;267692;32;25/11/2021;PAID
1347;23/11/2021;25/11/2021;5066;1280;267609;1280;25/11/2021;PAID
1348;10/12/2021;26/11/2021;396255;794,1;267575;794,1;10/12/2021;PAID
1349;25/11/2021;26/11/2021;396185;780;267575;780;26/11/2021;PAID
1350;25/12/2021;26/11/2021;42215;468;253270;468;27/12/2021;PAID
1351;02/12/2021;26/11/2021;250497;1116,52;267535;1116,52;02/12/2021;PAID
1352;24/11/2021;24/11/2021;123;1450;267580;1450;24/11/2021;PAID
1353;08/12/2021;26/11/2021;26880;1774;267574;1774;08/12/2021;PAID
1354;29/11/2021;29/11/2021;222580;161,8;267574;161,8;29/11/2021;PAID
1355;27/11/2021;29/11/2021;22656;120;267567;120;29/11/2021;PAID
1356;29/11/2021;29/11/2021;27328;355;267574;355;29/11/2021;PAID
1357;29/11/2021;29/11/2021;224808;165;267574;165;29/11/2021;PAID
1358;26/11/2021;29/11/2021;1100362092;33;267619;29;29/11/2021;PAID
1359;27/11/2021;29/11/2021;110036208;336;267619;295,68;29/11/2021;PAID
1360;26/12/2021;29/11/2021;250693;277,69;267535;277,69;27/12/2021;PAID
1361;30/11/2021;30/11/2021;29579;130;267679;130;30/11/2021;PAID
1363;30/11/2021;30/11/2021;5728;160;267573;160;30/11/2021;PAID
1364;06/12/2021;30/11/2021;250848;331,37;267535;331,37;06/12/2021;PAID
1365;14/12/2021;30/11/2021;397196;369,15;267575;369,15;14/12/2021;PAID
1367;30/11/2021;30/11/2021;237564;20;267584;18;30/11/2021;PAID
1369;16/12/2021;02/12/2021;27416;162;267574;162;02/12/2021;PAID
1371;08/12/2021;02/12/2021;251219;944,33;267535;944,33;08/12/2021;PAID
1373;01/12/2021;02/12/2021;5734;24;267573;24;02/12/2021;PAID
1374;02/12/2021;02/12/2021;123;132,6;267592;132,6;02/12/2021;PAID
1375;02/12/2021;02/12/2021;238532;505;267574;458,1;02/12/2021;PAID
1376;31/12/2021;03/12/2021;27407;1407;267574;1407;30/12/2021;PAID
1377;03/12/2021;03/12/2021;96221;9;267647;9;03/12/2021;PAID
1378;01/12/2021;03/12/2021;339410;28,5;267589;25,65;03/12/2021;PAID
1379;01/12/2021;03/12/2021;149741;105,2;267612;100;03/12/2021;PAID
1380;03/12/2021;03/12/2021;8397;1500;267585;1500;03/12/2021;PAID
1382;03/12/2021;03/12/2021;31221;161;267592;96,6;03/12/2021;PAID
1383;30/12/2021;03/12/2021;96428;233;253238;233;30/12/2021;PAID
1384;13/01/2022;03/12/2021;96428;203;253238;203;10/01/2022;PAID
1386;28/12/2021;03/12/2021;57574;420;267618;420;28/12/2021;PAID
1387;09/12/2021;03/12/2021;398618;180,08;267575;180,08;09/12/2021;PAID
1388;22/12/2021;03/12/2021;47672;407,57;267644;407,57;22/12/2021;PAID
1390;01/01/2022;03/12/2021;15997;229,68;267646;229,68;03/02/2022;PAID
1391;21/01/2022;03/12/2021;15997;229,67;267646;229,67;20/01/2022;PAID
1392;08/12/2021;03/12/2021;398149;1385,24;267575;1385,24;08/12/2021;PAID
1393;03/12/2021;03/12/2021;1100362839;1463;267619;1287,44;03/12/2021;PAID
1394;03/12/2021;03/12/2021;241997;80;267574;80;03/12/2021;PAID
1395;03/12/2021;03/12/2021;1100362856;149;267619;137;03/12/2021;PAID
1396;04/12/2021;06/12/2021;27485;15;267574;15;06/12/2021;PAID
1397;06/12/2021;06/12/2021;245357;62;267574;62;06/12/2021;PAID
1398;06/12/2021;06/12/2021;22744;60;267567;60;06/12/2021;PAID
1399;06/12/2021;06/12/2021;22735;150;267567;150;06/12/2021;PAID
1400;21/12/2021;07/12/2021;27500;1231,5;267574;872,74;21/12/2021;PAID
1401;13/12/2021;07/12/2021;399628;118,22;267575;118,22;13/12/2021;PAID
1402;05/01/2022;07/12/2021;4106;389,57;267582;389,57;05/01/2022;PAID
1404;07/12/2021;07/12/2021;76938;310,5;267574;310,5;07/12/2021;PAID
1405;22/12/2021;08/12/2021;400116;439,87;267575;439,87;08/12/2021;PAID
1406;06/01/2022;09/12/2021;27534;1324,5;267574;1324,5;06/01/2022;PAID
1407;08/12/2021;09/12/2021;1100363356;210;267619;184,8;09/12/2021;PAID
1408;08/12/2021;09/12/2021;91221;300;267715;300;09/12/2021;PAID
1409;08/12/2021;09/12/2021;58633;11,6;267662;11;09/12/2021;PAID
1410;09/12/2021;09/12/2021;239260;277;267584;249,3;09/12/2021;PAID
1411;09/12/2021;10/12/2021;254230;538;267574;538;08/12/2021;PAID
1412;10/12/2021;10/12/2021;258230;54;267574;54;10/12/2021;PAID
1413;07/12/2021;10/12/2021;27535;345;267574;310,5;10/12/2021;PAID
1414;10/12/2021;10/12/2021;101221;1101;267592;597;10/12/2021;PAID
1415;13/12/2021;13/12/2021;341977;23,08;267589;20,77;13/12/2021;PAID
1416;13/12/2021;14/12/2021;402070;1427,1;267575;1427,1;14/12/2021;PAID
1417;28/12/2021;14/12/2021;402070;213,6;267575;213,6;28/12/2021;PAID
1418;14/12/2021;14/12/2021;150028;45;267612;45;14/12/2021;PAID
1419;14/12/2021;14/12/2021;72808;221,94;267580;206,4;14/12/2021;PAID
1420;14/12/2021;14/12/2021;22848;120;267567;120;14/12/2021;PAID
1421;14/12/2021;14/12/2021;22832;140;267567;140;14/12/2021;PAID
1423;09/12/2021;14/12/2021;27621;8;267574;8;14/12/2021;PAID
1424;14/12/2021;14/12/2021;1100363742;20,25;267619;17,82;14/12/2021;PAID
1425;15/12/2021;15/12/2021;110033;152;267619;133,76;15/12/2021;PAID
1426;15/01/2022;15/12/2021;151221;562,5;267682;1125;14/12/2022;PAID
1427;10/01/2022;15/12/2021;97842;280;253238;280;10/01/2022;PAID
1428;24/01/2022;15/12/2021;97842;250;253238;250;24/01/2022;PAID
1429;07/02/2022;15/12/2021;97842;250;253238;250;07/02/2022;PAID
1430;21/02/2022;15/12/2021;97842;250;253238;250;21/02/2022;PAID
1431;10/01/2022;15/12/2021;2452;200;267716;200;15/12/2021;PAID
1432;11/12/2021;15/12/2021;22810;210;267567;210;15/12/2021;PAID
1433;10/12/2021;15/12/2021;22793;270;267567;250;15/12/2021;PAID
1434;14/12/2021;15/12/2021;22839;60;267567;60;15/12/2021;PAID
1435;10/12/2021;15/12/2021;1110;1120;267638;1120;15/12/2021;PAID
1436;15/02/2022;15/12/2021;151221;562,5;267682;562,5;15/02/2022;PAID
1437;02/12/2021;02/12/2021;123;240;267610;240;02/12/2021;PAID
1438;16/12/2021;16/12/2021;240318;66,3;267584;66,3;16/12/2021;PAID
1439;16/12/2021;16/12/2021;173001;430;267640;430;16/12/2021;PAID
1440;14/01/2022;17/12/2021;87445;1229,8;253256;1229,8;10/01/2022;PAID
1441;13/02/2022;17/12/2021;87445;1229,8;253256;1229,8;14/02/2022;PAID
1442;17/12/2021;17/12/2021;150093;49,9;267612;48;17/12/2021;PAID
1444;18/12/2021;20/12/2021;1100364400;178;267619;156,64;20/12/2021;PAID
1445;20/12/2021;20/12/2021;100166531;139,6;267608;127;20/12/2021;PAID
1446;18/11/2021;20/12/2021;343180;45;267589;40,5;20/12/2021;PAID
1447;20/12/2021;20/12/2021;22894;30;267567;30;20/12/2021;PAID
1448;10/01/2022;20/12/2021;403531;752,93;267575;752,93;10/01/2022;PAID
1449;20/01/2022;20/12/2021;403531;752,93;267575;752,93;20/01/2022;PAID
1450;15/12/2021;20/12/2021;151221;20,01;267647;20;20/12/2021;PAID
1451;12/12/2021;20/12/2021;121221;13;267580;13;20/12/2021;PAID
1452;15/12/2021;20/12/2021;151221;12,51;267580;12,5;20/12/2021;PAID
1453;24/12/2021;20/12/2021;253000;443,97;267535;443,97;23/12/2021;PAID
1454;20/12/2021;20/12/2021;59262;73,3;267662;70;20/12/2021;PAID
1455;21/12/2021;21/12/2021;123;120;267610;120;21/12/2021;PAID
1456;21/12/2021;21/12/2021;123;120;267610;120;21/12/2021;PAID
1457;04/01/2022;21/12/2021;404483;701,65;267575;701,65;04/01/2022;PAID
1458;20/12/2021;21/12/2021;96904;24,2;267647;22;21/12/2021;PAID
1459;21/12/2021;21/12/2021;343697;37;267589;33,3;21/12/2021;PAID
1460;04/01/2022;21/12/2021;27810;1685;267574;1685;04/01/2022;PAID
1461;22/12/2021;21/12/2021;1100364521;489,28;267619;489,28;23/12/2021;PAID
1462;21/12/2021;21/12/2021;22924;30;267567;30;21/12/2021;PAID
1463;22/12/2021;22/12/2021;73061;993;267580;993;22/12/2021;PAID
1464;05/01/2022;22/12/2021;404947;1109,32;267575;1109,32;22/12/2021;PAID
1465;22/12/2021;22/12/2021;1100364308;812,37;267619;812,37;22/12/2021;PAID
1466;22/12/2021;22/12/2021;221221;150;267592;90;22/12/2021;PAID
1467;22/12/2021;22/12/2021;1100364443;748;267619;;;PENDING
1468;22/12/2021;22/12/2021;1100364721;8,8;267619;8;22/12/2021;PAID
1469;22/12/2021;22/12/2021;290133;125;267574;125;22/12/2021;PAID
1470;22/12/2021;22/12/2021;344093;251;267589;225,9;22/12/2021;PAID
1471;15/01/2022;22/12/2021;27770;2295;267574;2295;10/01/2022;PAID
1472;20/01/2022;22/12/2021;27855;440;267574;440;20/01/2022;PAID
1473;22/12/2021;22/12/2021;119183;140,7;267696;140,7;22/12/2021;PAID
1474;23/12/2021;23/12/2021;123;240;267610;240;23/12/2021;PAID
1475;07/01/2022;23/12/2021;292629;429,1;267574;429,1;23/12/2021;PAID
1476;23/12/2021;23/12/2021;27908;315;267574;315;23/12/2021;PAID
1477;22/12/2021;23/12/2021;7581;240;267717;228;23/12/2021;PAID
1478;23/12/2021;23/12/2021;5843;450;267573;450;23/12/2021;PAID
1479;29/12/2021;23/12/2021;253482;1055,88;267535;1055,88;29/12/2021;PAID
1480;29/12/2021;23/12/2021;405393;412,75;267575;412,75;29/12/2021;PAID
1481;27/12/2021;27/12/2021;241883;250;267584;212,5;27/12/2021;PAID
1482;28/12/2021;28/12/2021;70959;676,65;267718;630;28/12/2021;PAID
1483;28/12/2021;28/12/2021;28122021;237,6;267592;237,6;28/12/2021;PAID
1484;28/12/2021;28/12/2021;1100364402;155;267619;142,5;28/12/2021;PAID
1485;27/12/2021;28/12/2021;2021012070;32,4;267597;32,4;28/12/2021;PAID
1486;27/12/2021;28/12/2021;22955;30;267567;30;28/12/2021;PAID
1487;20/02/2022;28/12/2021;172202;1415;267632;1415;28/12/2021;PAID
1488;28/12/2021;28/12/2021;1100365087;176;267619;155;28/12/2021;PAID
1489;23/01/2022;29/12/2021;5565;940;267719;940;23/01/2022;PAID
1490;28/01/2022;29/12/2021;25158;420;253276;420;28/01/2022;PAID
1491;27/01/2022;29/12/2021;42684;2340;253270;2340;27/01/2022;PAID
1492;04/01/2022;29/12/2021;253854;454,85;267535;454,85;04/01/2022;PAID
1493;27/01/2022;29/12/2021;27975;330;267574;330;27/01/2022;PAID
1494;26/01/2022;29/12/2021;406228;2640,15;267575;2640,15;26/01/2022;PAID
1495;29/12/2021;29/12/2021;1100365255;742;267619;667,8;29/12/2021;PAID
1496;29/12/2021;29/12/2021;22980;60;267567;60;29/12/2021;PAID
1497;29/12/2021;29/12/2021;303956;12,5;267574;12,5;29/12/2021;PAID
1498;27/01/2022;29/12/2021;27952;2415;267574;2415;27/01/2022;PAID
1501;26/02/2022;29/12/2021;4346;416,66;267582;416,66;02/03/2022;PAID
1502;28/12/2021;29/12/2021;281221;50;267592;30;29/12/2021;PAID
1503;30/12/2021;30/12/2021;153904;33;267572;33;30/12/2021;PAID
1504;14/01/2022;30/12/2021;28037;35;267574;35;14/01/2022;PAID
1505;04/01/2022;04/01/2022;310799;34;267574;34;04/01/2022;PAID
1506;04/01/2022;04/01/2022;28072;180;267574;180;04/01/2022;PAID
1507;03/01/2022;04/01/2022;407651;802,34;267575;802,34;03/01/2022;PAID
1508;18/01/2022;04/01/2022;407651;299,14;267575;299,14;18/01/2022;PAID
1509;05/01/2022;05/01/2022;60049;149;267684;110;05/01/2022;PAID
1510;02/02/2022;05/01/2022;843136;252,97;267710;252,97;02/02/2022;PAID
1511;04/03/2022;05/01/2022;843136;252,96;267710;252,96;04/03/2022;PAID
1512;05/01/2021;05/01/2022;28106;45;267574;45;05/01/2022;PAID
1513;03/02/2022;05/01/2022;28077;1695;267574;1695;03/02/2022;PAID
1514;04/01/2022;05/01/2022;28074;34;267574;34;05/01/2022;PAID
1515;03/01/2022;05/01/2022;1100365485;76;267619;65;05/01/2022;PAID
1516;04/01/2022;05/01/2022;1100365678;75;267619;66;05/01/2022;PAID
1517;04/01/2022;05/01/2022;4122;203;267592;203;05/01/2022;PAID
1518;05/01/2022;06/01/2022;1100365729;956;267619;841,28;06/01/2022;PAID
1519;05/01/2022;06/01/2022;1100365791;135;267619;118,8;06/01/2022;PAID
1520;04/01/2022;06/01/2022;187398;537;267583;483,3;06/01/2022;PAID
1521;30/01/2022;06/01/2022;408441;411,3;267575;411,3;31/01/2022;PAID
1522;04/02/2022;06/01/2022;42758;798;253270;798;04/02/2022;PAID
1523;04/02/2022;06/01/2022;88227;1310,13;253256;1310,13;04/02/2022;PAID
1524;04/03/2022;06/01/2022;88227;1310,13;253256;1310,13;04/03/2022;PAID
1525;03/02/2022;06/01/2022;408043;1898,69;267575;1898,69;03/02/2022;PAID
1526;03/02/2022;07/01/2022;100494;307,33;253238;307,33;03/02/2022;PAID
1527;17/02/2022;07/01/2022;100494;277,33;253238;277,33;15/02/2022;PAID
1528;03/03/2022;07/01/2022;100494;277,33;253238;277,33;03/03/2022;PAID
1530;07/01/2022;07/01/2022;6012022;180;267720;180;07/01/2022;PAID
1531;06/01/2022;07/01/2022;6122;2200;267687;2200;07/01/2022;PAID
1532;07/01/2022;07/01/2022;7012022;2200;267687;2200;07/01/2022;PAID
1533;07/01/2022;07/01/2022;346738;887;267589;800;07/01/2022;PAID
1534;07/01/2022;07/01/2022;7012022;22,8;267647;22,8;07/01/2022;PAID
1535;06/02/2022;07/01/2022;88310;1837,22;253256;1837,22;07/02/2022;PAID
1537;08/01/2022;08/01/2022;1100366102;71;267619;62,48;08/01/2022;PAID
1538;08/01/2022;08/01/2022;9758;40;267721;40;08/01/2022;PAID
1542;22/01/2022;08/01/2022;83927;480,5;253252;480,5;22/01/2022;PAID
1543;14/01/2022;08/01/2022;49428;730,66;267644;730,66;10/01/2022;PAID
1544;08/01/2022;10/01/2022;346969;108;267589;97,2;10/01/2022;PAID
1545;10/01/2022;10/01/2022;30939;51,97;267679;50;10/01/2022;PAID
1546;10/01/2022;10/01/2022;1100366182;166;267619;147;10/01/2022;PAID
1547;10/01/2022;10/01/2022;3829;700;267674;700;10/01/2022;PAID
1548;10/01/2022;10/01/2022;327619;56;267574;56;10/01/2022;PAID
1549;11/01/2022;11/01/2022;347454;952,5;267589;857,25;11/01/2022;PAID
1550;11/01/2022;11/01/2022;347511;46;267589;41,4;11/01/2022;PAID
1551;25/01/2022;11/01/2022;409729;314,75;267575;314,75;25/01/2022;PAID
1552;11/01/2022;11/01/2022;347535;96;267589;86,4;11/01/2022;PAID
1553;17/01/2022;11/01/2022;254980;802,26;267535;802,26;17/01/2022;PAID
1554;12/01/2022;12/01/2022;1100366418;431,2;267675;431,2;12/01/2022;PAID
1555;12/01/2022;12/01/2022;347628;143;267589;128,7;12/01/2022;PAID
1556;12/01/2022;12/01/2022;244312;364,5;267584;309,82;12/01/2022;PAID
1557;09/02/2022;12/01/2022;84005;392,75;253252;392,75;07/02/2022;PAID
1558;05/01/2022;12/01/2022;747095;2759,92;267714;2759,92;12/01/2022;PAID
1559;12/01/2022;12/01/2022;1042;148;267671;148;12/01/2022;PAID
1560;26/01/2022;12/01/2022;410190;1396,05;267575;1396,05;26/01/2022;PAID
1561;11/01/2022;12/01/2022;41938;1576,1;267722;1576,1;11/01/2022;PAID
1562;27/01/2022;13/01/2022;410577;550,32;267575;550,32;27/01/2022;PAID
1563;12/01/2022;13/01/2022;120122;217;267592;130;13/01/2022;PAID
1564;13/01/2022;13/01/2022;4404;98;267671;98;13/01/2022;PAID
1565;14/01/2022;14/01/2022;123;120;267610;120;14/01/2022;PAID
1566;13/01/2022;14/01/2022;347968;796,57;267589;715;14/01/2022;PAID
1567;13/01/2022;14/01/2022;28266;135;267574;135;14/01/2022;PAID
1568;14/01/2022;14/01/2022;348185;24;267589;21,6;14/01/2022;PAID
1569;13/01/2022;14/01/2022;24742;90;267716;90;14/01/2022;PAID
1570;14/01/2022;14/01/2022;348203;32;267589;28,9;14/01/2022;PAID
1571;14/01/2022;14/01/2022;348178;32;267589;28,79;14/01/2022;PAID
1572;13/01/2022;14/01/2022;28261;350;267574;350;14/01/2022;PAID
1573;28/01/2022;14/01/2022;410993;748,25;267575;748,25;28/01/2022;PAID
1574;13/01/2022;14/01/2022;1047;98;267671;98;14/01/2022;PAID
1575;15/01/2022;15/01/2022;184333;61;267675;61;15/01/2022;PAID
1576;17/01/2022;17/01/2022;170122;168;267592;100,8;17/01/2022;PAID
1577;14/01/2022;17/01/2022;411393;955,45;267575;955,45;17/01/2022;PAID
1578;29/01/2022;17/01/2022;411393;927,71;267575;927,71;31/01/2022;PAID
1579;17/01/2022;18/01/2022;244986;186;267584;168;17/01/2022;PAID
1580;17/01/2022;18/01/2022;348760;148;267589;133,2;18/01/2022;PAID
1581;17/01/2022;18/01/2022;348581;134;267589;120;18/01/2022;PAID
1582;0202-01-17;18/01/2022;1100367002;33;267619;29;18/01/2022;PAID
1583;17/01/2022;18/01/2022;51035;168;253245;168;18/01/2022;PAID
1584;17/01/2022;18/01/2022;1100366930;1087;267619;978,3;18/01/2022;PAID
1585;18/01/2022;18/01/2022;4511;94;267671;94;18/01/2022;PAID
1586;18/01/2022;18/01/2022;180122;150;267723;150;18/01/2022;PAID
1587;18/01/2022;18/01/2022;346966;445,25;267574;445,25;18/01/2022;PAID
1588;18/01/2022;18/01/2022;348893;67;267589;60,3;18/01/2022;PAID
1589;14/02/2022;18/01/2022;101767;192,58;253238;192,58;14/02/2022;PAID
1590;28/02/2022;18/01/2022;101767;162,57;253238;162,57;02/03/2022;PAID
1591;14/02/2022;18/01/2022;28309;1531;267574;1531;14/02/2022;PAID
1592;01/02/2022;18/01/2022;411907;451,36;267575;451,36;01/02/2022;PAID
1593;18/01/2022;18/01/2022;348854;1120;267589;1008;18/01/2022;PAID
1594;15/01/2022;18/01/2022;348460;112;267589;100;18/01/2022;PAID
1595;17/02/2022;19/01/2022;88799;516,2;253256;516,2;15/02/2022;PAID
1596;17/02/2022;19/01/2022;4540;829,42;267582;829,42;15/02/2022;PAID
1597;07/02/2022;19/01/2022;58348;290;267618;290;07/02/2022;PAID
1598;18/01/2022;19/01/2022;335485;464,73;267689;464,73;19/01/2022;PAID
1599;19/01/2022;19/01/2022;349084;112;267589;100;19/01/2022;PAID
1600;19/01/2022;19/01/2022;349087;32;267589;28,8;19/01/2022;PAID
1601;19/01/2022;19/01/2022;352593;64;267574;64;19/01/2022;PAID
1602;19/01/2022;19/01/2022;32577;3,69;267669;3,69;19/01/2022;PAID
1603;19/01/2022;19/01/2022;74281;173,9;267580;173,9;19/01/2022;PAID
1604;18/01/2022;19/01/2022;348965;45,57;267589;40;19/01/2022;PAID
1605;18/01/2022;19/01/2022;349477;156,5;267574;156,5;19/01/2022;PAID
1606;19/01/2022;19/01/2022;190122;357;267592;214;19/01/2022;PAID
1607;19/01/2022;19/01/2022;64215;59;267581;56,05;19/01/2022;PAID
1608;19/01/2022;19/01/2022;245492;520;267584;450;19/01/2022;PAID
1609;19/01/2022;19/01/2022;1100169859;25;267608;25;19/01/2022;PAID
1610;19/01/2022;19/01/2022;352149;475;267574;460,75;19/01/2022;PAID
1611;20/01/2022;20/01/2022;1100367328;38;267619;33,44;20/01/2022;PAID
1612;20/01/2022;20/01/2022;100170017;59,19;267608;53;20/01/2022;PAID
1613;20/01/2022;20/01/2022;354600;115;267574;115;20/01/2022;PAID
1614;21/01/2022;21/01/2022;358762;64;267574;64;21/01/2022;PAID
1615;20/02/2022;21/01/2022;89010;612;253256;612;21/02/2022;PAID
1616;19/01/2022;21/01/2022;1100367206;304;267619;267,52;21/01/2022;PAID
1617;20/01/2022;21/01/2022;1100367381;166;267619;146,08;21/01/2022;PAID
1618;21/01/2022;21/01/2022;349565;189;267589;170,1;21/01/2022;PAID
1619;04/02/2022;21/01/2022;413074;243,42;267575;243,42;04/02/2022;PAID
1620;14/02/2022;21/01/2022;123;437,5;267682;437,5;14/02/2022;PAID
1621;01/03/2022;21/01/2022;123;437,5;267682;437,5;02/03/2022;PAID
1622;21/01/2022;20/01/2022;123;120;267610;120;21/01/2022;PAID
1623;21/01/2022;21/01/2022;28441;85;267574;85;21/01/2022;PAID
1624;21/01/2022;21/01/2022;360259;430;267574;399,9;21/01/2022;PAID
1625;21/01/2022;21/01/2022;1100367558;470;267574;414;21/01/2022;PAID
1626;22/01/2022;22/01/2022;123;120;267610;120;22/01/2022;PAID
1627;25/01/2022;24/01/2022;9856;419;267724;419;25/01/2022;PAID
1628;24/01/2022;24/01/2022;32645;1,5;267669;1,5;24/01/2022;PAID
1629;24/01/2022;24/01/2022;349964;788,57;267589;708;24/01/2022;PAID
1630;24/01/2022;24/01/2022;61309;180;267684;135;24/01/2022;PAID
1631;24/01/2022;24/01/2022;349981;138;267589;124,2;24/01/2022;PAID
1632;24/01/2022;24/01/2022;24122;715;267592;429;24/01/2022;PAID
1633;24/01/2022;24/01/2022;1100367746;80;267619;70,4;24/01/2022;PAID
1634;24/01/2022;24/01/2022;150653;120,5;267612;114,48;24/01/2022;PAID
1635;23/02/2022;25/01/2022;849931;913,17;267710;913,17;23/02/2022;PAID
1636;23/02/2022;25/01/2022;849935;166,16;267710;166,16;23/02/2022;PAID
1637;21/02/2022;25/01/2022;52585;516;267712;516;21/02/2022;PAID
1638;25/01/2022;26/01/2022;28526;356;267574;356;26/01/2022;PAID
1639;25/01/2022;26/01/2022;246373;35;267584;29,75;26/01/2022;PAID
1640;25/01/2022;26/01/2022;246364;74;267584;62,9;26/01/2022;PAID
